,ID,Choice,ReportedDuration,InVehicleTime,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,ModeToSchool,CoderegionCAR,age,Weight
1,53060420,0,146,166,3,3,200,20,14,33.0,11.9,116,3,0,2,0,5,0,3,2,1,1,2,0,1,2,5.0,17,4,2,1992,1,6,8,8,7000,2,2,2,1,2,2,2,0.0,17.05,2,4,3,3,2,5,5,4,4,4,2,3,3,1,3,6,2,6,6,1,5,2,5,2,5,5,3,4,5,4,2,4,3,2,2,1,3,1,2,5,1,4,3,4,3,3,2,4,2,1,2,3,4,4,2,7,1,2,4,2,5,2,4,2,2,4,6,128.0,5,6,18,0.002195453
3,47130281,1,15,10,2,0,30,20,0,2.8,0.62,8,3,0,3,0,2,0,3,3,1,2,3,0,1,1,5.5,22,5,2,1955,1,3,6,6,9000,3,1,2,2,2,2,1,2.2,0.89,3,2,3,2,4,4,6,3,3,5,3,4,5,3,4,6,4,3,4,3,3,4,3,3,4,6,3,3,4,3,5,6,3,3,5,2,3,3,3,4,3,3,4,4,4,3,3,4,6,3,6,4,4,3,1,7,1,2,3,3,5,1,-1,4,-1,3,5,5.5,4,5,55,0.000367986
4,95241108,1,61,120,9,5,231,68,43,29.2,9.44,78,2,0,1,0,1,0,1,1,2,1,2,0,1,1,7.0,29,5,1,1934,1,2,9,6,9000,4,2,2,2,2,2,1,29.2,13.53,4,2,4,3,1,2,4,4,4,5,4,3,4,1,5,6,4,1,5,3,5,4,4,4,1,6,4,3,1,2,1,4,4,2,4,4,2,1,3,5,1,4,4,3,6,3,3,5,6,5,2,4,4,2,-1,6,2,2,4,4,5,4,2,2,2,1,7,102.0,3,7,76,8.57e-05
5,44670208,0,160,20,1,0,122,102,0,13.6,2.2,31,5,1,1,0,5,0,2,0,1,2,3,0,1,2,4.0,12,4,1,1960,3,3,1,6,7000,6,1,2,2,1,2,1,6.8,3.15,5,5,2,2,3,5,3,4,4,3,3,2,4,2,4,3,3,1,3,3,3,3,4,2,5,4,3,1,4,5,1,5,5,3,5,3,3,1,1,6,3,1,4,5,5,6,1,4,4,4,1,5,5,2,1,7,1,2,4,3,5,4,3,1,1,4,5,18.5,3,5,50,0.00010913200000000001
6,90320845,1,15,27,7,1,42,11,4,3.0,1.22,17,3,0,2,0,6,0,0,1,1,1,3,0,1,1,7.0,49,3,1,1936,1,3,9,-1,5000,6,1,2,2,2,2,1,2.2,1.75,3,4,4,4,3,4,4,3,3,4,4,5,4,3,4,3,4,3,3,3,4,4,3,3,4,2,2,2,4,4,1,3,3,2,5,3,3,1,3,4,2,4,3,3,-1,3,2,3,3,3,4,3,3,3,3,2,2,2,2,3,3,1,2,2,2,3,7,10.0,5,7,74,8.57e-05
9,39010095,1,50,61,4,1,117,44,12,19.0,3.97,51,2,0,3,1,1,0,2,3,1,1,2,0,1,1,7.0,2,4,2,1986,1,2,2,5,7000,3,1,2,2,2,2,1,9.5,5.69,1,4,6,2,3,5,4,2,3,4,3,2,4,2,4,6,4,2,5,3,3,4,4,2,4,6,6,4,5,4,1,1,4,1,2,2,1,1,1,5,1,2,3,5,5,4,2,5,2,3,4,4,3,4,3,7,1,2,2,2,4,4,4,2,2,3,2,35.0,4,2,24,0.00087004
10,90300346,1,10,26,1,2,69,41,2,6.0,2.07,23,4,0,1,1,5,0,3,0,1,1,4,1,1,1,6.0,22,5,1,1959,1,3,1,3,9000,6,1,2,2,2,2,2,3.0,2.97,4,5,2,2,3,5,5,1,4,5,-1,2,4,2,5,1,2,1,4,1,4,3,2,2,4,3,2,2,4,5,1,2,3,2,5,3,3,3,3,3,4,2,5,4,4,3,2,4,3,1,2,4,5,1,1,2,2,2,2,3,1,2,2,1,3,3,7,17.0,5,7,51,0.00010913200000000001
11,19130912,1,50,50,4,0,94,44,0,16.4,2.56,26,2,0,1,0,0,0,0,1,2,1,1,0,2,1,3.0,10,4,1,1936,2,2,9,8,7000,6,2,2,2,2,2,1,16.4,3.67,1,6,1,3,4,4,6,6,6,6,1,3,3,3,5,5,4,3,4,4,2,5,5,6,6,6,3,1,6,6,6,6,6,3,4,1,3,1,1,3,3,1,3,3,6,6,6,3,6,3,3,6,3,6,3,8,1,1,2,4,1,2,3,-1,-1,3,2,28.0,-1,2,74,8.57e-05
12,42340130,1,20,20,1,0,56,36,0,17.6,1.26,18,4,1,1,0,3,0,1,2,1,1,4,0,1,1,5.0,16,3,1,1956,1,3,1,6,5000,2,2,2,2,2,2,1,17.6,1.81,3,3,4,4,3,4,4,4,4,4,2,5,4,2,3,4,4,2,4,3,2,-1,4,2,4,-1,4,2,2,2,2,2,4,3,4,4,2,2,4,4,2,3,4,4,2,2,3,4,3,2,4,3,2,4,1,7,1,2,4,4,5,2,-1,-1,2,4,5,11.0,5,5,54,0.001636675
13,70130905,1,30,49,1,4,90,34,7,23.6,2.58,22,4,2,1,0,1,1,3,0,1,2,2,0,1,2,7.0,5,6,1,1966,1,3,1,1,15000,8,1,2,2,2,2,1,11.8,3.7,4,4,3,1,4,4,3,4,4,4,4,5,3,1,4,4,4,2,4,3,4,3,4,4,3,3,4,1,5,4,3,2,4,2,4,2,3,1,2,5,3,1,2,5,3,6,6,4,1,3,3,4,3,2,1,2,2,2,2,2,2,2,3,2,1,3,8,23.0,4,8,44,0.000160139
